id,difficulty,category,question,choice_a,choice_b,choice_c,correct,explanation,source_folder
1,やさしい,基本ルール,ドリブルを一度止めたあと、もう一度ドリブルしたら？,トラベリング,ダブルドリブル,ファウル,B,ドリブルを止めたあとはパスかシュートが基本です。,01_公式ルール資料
2,やさしい,基本ルール,ボールを持ったまま歩きすぎたときの反則は？,トラベリング,ダブルドリブル,アウトオブバウンズ,A,ボールを持って足を動かしすぎるとトラベリングになります。,01_公式ルール資料
3,やさしい,基本ルール,ボールがサイドラインの外に出たら、どう再開する？,ジャンプボール,スローイン,フリースロー,B,ラインの外からスローインで再開します。,01_公式ルール資料
4,やさしい,基本ルール,シュートが外れたあと、ボールを取りにいくプレーは？,リバウンド,ルーズボール,スローイン,A,外れたシュートのボールを取りにいくプレーがリバウンドです。,01_公式ルール資料
5,やさしい,基本ルール,相手を手で押して動きを止めた場合に近いものは？,リバウンド,ファウル,タイムアウト,B,押す・つかむなどで相手のプレーを妨げるとファウルになることがあります。,01_公式ルール資料
6,やさしい,基本ルール,ラインを踏んだ状態でボールを持つとどうなることがある？,アウトになる,得点になる,タイムアウトになる,A,コートの外やライン上に触れるとアウト扱いになることがあります。,01_公式ルール資料
7,やさしい,基本ルール,味方へボールを渡すプレーは？,パス,スクリーン,リバウンド,A,味方にボールを渡すプレーをパスといいます。,01_公式ルール資料
8,やさしい,基本ルール,ボールを床につきながら進むプレーは？,ドリブル,スローイン,ピボット,A,ボールを床について進むのがドリブルです。,01_公式ルール資料
9,やさしい,基本ルール,リングに向かって得点を狙うプレーは？,パス,シュート,リバウンド,B,得点を狙ってリングに投げるプレーをシュートといいます。,01_公式ルール資料
10,やさしい,用語,どちらのチームもまだ完全に持っていないボールは？,ルーズボール,ライブボール,デッドボール,A,誰も保持していないボールをルーズボールと呼びます。,01_公式ルール資料
11,やさしい,用語,攻める側のチームや動きのことは？,ディフェンス,オフェンス,テーブルオフィシャルズ,B,ボールを持って得点を狙う側がオフェンスです。,01_公式ルール資料
12,やさしい,用語,守る側のチームや動きのことは？,オフェンス,スローイン,ディフェンス,C,相手の得点を防ぐ側がディフェンスです。,01_公式ルール資料
